strain	virus	date	accesion	host	country	region	db	segment	url	
WGI01_india_2018	CABYV	2018-XX-XX	MN275838.1	Benincasa hispida	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275838.1	
WMD01_india_2018	CABYV	2018-XX-XX	MN275837.1	Watermelon 	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275837.1	
RGI01_india_2018	CABYV	2018-XX-XX	MN275835.1	Luffa 	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275835.1	
CI01_india_2018	CABYV	2018-XX-XX	MN275832.1	Coccinia grandis	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275832.1	
POL-SQ_India_2018	CABYV	2018-XX-XX	MN688219.1	Zucchini	India	Varanasi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN688219.1	
67.1Zu_M_Mos_2018	CABYV	2018-XX-XX	OM948850	Zucchini	Spain	Murcia	genbank	cp		
64.2Me_CLM_Mos_2018	CABYV	2018-XX-XX	OM948857	Melon 	Spain	C. La Mancha	genbank	cp		
RKJ-26_india_2019	CABYV	2019-XX-XX	MT018564.1	Momordica charantia	India	Tamil Nadu	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT018564.1	
RKJ-25_india_2019	CABYV	2019-XX-XX	MN862007.1	Momordica charantia	India	New Delhi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN862007.1	
RKJ-23_india_2019	CABYV	2019-XX-XX	MN843967.1	Cucumber	India	New Delhi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN843967.1	
RKJ-21_india_2019	CABYV	2019-XX-XX	MN843966.1	Momordica charantia	India	Coimbatore	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN843966.1	
CABYV-2019/1_poland_2019	CABYV	2019-XX-XX	MT384364.1	Cucumis sativus	Poland	Poland	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT384364.1	
44-7/10/19_germany_2019	CABYV	2019-XX-XX	MN746322.1	Cucumber	Germany	Germany	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN746322.1	
ESS-YZG3/2_turkey_2019	CABYV	2019-XX-XX	MW367896.1	Zucchini	Turkey	Turkey	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MW367896.1	
ESS-NGD6/1_turkey_2019	CABYV	2019-XX-XX	MW367894.1	Zucchini	Turkey	Turkey	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MW367894.1	
ESS-NVS13/1_turkey_2019	CABYV	2019-XX-XX	MW367893.1	Zucchini	Turkey	Turkey	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MW367893.1	
POL-WM_India_2019	CABYV	2019-XX-XX	MN688220.1	Watermelon 	India	Varanasi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN688220.1	
19.1Zu_A_Yel_2019	CABYV	2019-XX-XX	OM948841.1	Zucchini	Spain	Alicante	genbank	cp		
22.1Zu_M_Yel_2019	CABYV	2019-XX-XX	OM948845.1	Zucchini	Spain	Murcia	genbank	cp		
19.1Me_M_Mos_2019	CABYV	2019-XX-XX	OM948840.1	Melon 	Spain	Murcia	genbank	cp		
9.1Me_M_Mos_2019	CABYV	2019-XX-XX	OM948855.1	Melon 	Spain	Murcia	genbank	cp		
LP63_spain_2019	CABYV	2019-XX-XX	MW051363.1	Watermelon 	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MW051363.1 	
BGK_south_korea_2020	CABYV	2020-XX-XX	LC704882.1	Momordica charantia	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC704882.1	
GJ_South_Korea_2020	CABYV	2020-XX-XX	MW509732.1	Melon 	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MW509732.1	
59.1Me_A_Yel_2020	CABYV	2020-XX-XX	OM948849.1	Melon 	Spain	Alicante	genbank	cp		
10.1Zu_M_Yel_2020	CABYV	2020-XX-XX	OM948835.1	Zucchini	Spain	Murcia	genbank	cp		
53.1Me_M_Yel_2020	CABYV	2020-XX-XX	OM948848.1	Melon 	Spain	Murcia	genbank	cp		
MMD_india_2021	CABYV	2021-XX-XX	OM517172.1	Melon	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/OM517172.1	
AS-cucumber_south_korea_2021	CABYV	2021-XX-XX	MZ366313.1	Cucumber	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MZ366313.1	
