strain	virus	date	accesion	host	country	region	db	segment	url	
CABYV-C-TW58_taiwan_2009	CABYV	2009-XX-XX	GU324100.1	Momordica charantia	Taiwan	Tainan County	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GU324100.1	
CABYV-R-TW36_taiwan_2009	CABYV	2009-XX-XX	GU324099.1	Zucchini	Taiwan	Tainan County	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/GU324099.1	
249-09_serbia_2009	CABYV	2009-XX-XX	JX262081.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262081.1	
241-09_serbia_2009	CABYV	2009-XX-XX	JX262080.1	Pumpkin	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262080.1	
162-09_serbia_2009	CABYV	2009-XX-XX	JX262079.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262079.1	
246-09_serbia_2009	CABYV	2009-XX-XX	JX262078.1	Pumpkin	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262078.1	
242-09_serbia_2009	CABYV	2009-XX-XX	JX262077.1	Pumpkin	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262077.1	
237-09_serbia_2009	CABYV	2009-XX-XX	JX262076.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262076.1	
194-09_serbia_2009	CABYV	2009-XX-XX	JX262075.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262075.1	
234-09_serbia_2009	CABYV	2009-XX-XX	JX262074.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262074.1	
197-09_serbia_2009	CABYV	2009-XX-XX	JX262073.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262073.1	
165-09_serbia_2009	CABYV	2009-XX-XX	JX262072.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262072.1	
66-09_serbia_2009	CABYV	2009-XX-XX	JX262071.1	Zucchini	Serbia	Serbia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/JX262071.1	
Rak-5_czech_republic_2009	CABYV	2009-XX-XX	HM771273.1	Zucchini	Czech Republic	Czech Republic	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HM771273.1	
Rak-4_czech_republic_2009	CABYV	2009-XX-XX	HM771272.1	Zucchini	Czech Republic	Czech Republic	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/HM771272.1	
